Method	AP	P@50	P@100	R@100
LC_VariErr	$41.5$	$30.0$	$38.0$	$30.6$
LC_VariErr_rerank	$41.5$	$30.0$	$38.0$	$30.6$
baseline_chaosnli_prob	$49.7$	$54.0$	$42.0$	$34.1$
baseline_chaosnli_prob_rerank	$50.6$	$56.0$	$44.0$	$35.5$
dm_mean	$51.2\pm0.7$	$52.0\pm0.0$	$48.7\pm1.5$	$39.2\pm1.2$
dm_mean_rerank	$51.2\pm0.7$	$52.0\pm0.0$	$48.7\pm1.5$	$39.2\pm1.2$
dm_neg_std	$37.3\pm2.6$	$30.7\pm6.4$	$31.3\pm3.8$	$25.3\pm3.1$
dm_neg_std_rerank	$37.3\pm2.6$	$30.7\pm6.4$	$31.3\pm3.8$	$25.3\pm3.1$
dm_std	$50.6\pm1.6$	$47.3\pm4.6$	$52.0\pm2.6$	$41.9\pm2.1$
dm_std_rerank	$50.6\pm1.6$	$47.3\pm4.6$	$52.0\pm2.6$	$41.9\pm2.1$
gpt-3.5-turbo	$38.0$	$36.0$	$31.0$	$25.0$
gpt-3.5-turbo_rerank	$38.0$	$36.0$	$31.0$	$25.0$
gpt-4-1106-preview	$47.9$	$46.0$	$54.0$	$43.5$
gpt-4-1106-preview_rerank	$47.9$	$46.0$	$54.0$	$43.5$
metadata_archaeology_knn	$44.8\pm3.1$	$44.7\pm10.3$	$47.3\pm4.9$	$38.2\pm4.0$
metadata_archaeology_knn_rerank	$44.8\pm3.1$	$44.7\pm10.3$	$47.3\pm4.9$	$38.2\pm4.0$
metadata_archaeology_lr	$46.5\pm3.1$	$50.7\pm9.9$	$47.7\pm3.8$	$38.4\pm3.1$
metadata_archaeology_lr_rerank	$46.5\pm3.1$	$50.7\pm9.9$	$47.7\pm3.8$	$38.4\pm3.1$
peer_Heruistic_ratio_per_exp	$47.7$	$56.0$	$47.0$	$38.2$
peer_Heruistic_ratio_per_exp_rerank	$48.1$	$48.0$	$51.0$	$41.1$
peer_heuristic_ratio_all_exp	$47.7$	$56.0$	$47.0$	$38.2$
peer_heuristic_ratio_all_exp_rerank	$48.1$	$48.0$	$51.0$	$41.1$
peer_heuristic_sum_all_exp	$47.9$	$48.0$	$49.0$	$39.8$
peer_heuristic_sum_all_exp_rerank	$48.3$	$46.0$	$54.0$	$43.5$
peer_heuristic_sum_per_exp	$47.9$	$48.0$	$49.0$	$39.8$
peer_heuristic_sum_per_exp_rerank	$48.3$	$46.0$	$54.0$	$43.5$
random	$41.5$	$41.5$	$41.5$	$33.4$
